NAMESPACE	LAST SEEN	TYPE	REASON	OBJECT	MESSAGE
neuvector                   77s         Normal    Scheduled                        pod/neuvector-scanner-pod-64d5b96b4d-fn9sz                       Successfully assigned neuvector/neuvector-scanner-pod-64d5b96b4d-fn9sz to k3d-uds-server-0
neuvector                   77s         Normal    Scheduled                        pod/neuvector-enforcer-pod-lj8mb                                 Successfully assigned neuvector/neuvector-enforcer-pod-lj8mb to k3d-uds-server-0
neuvector                   77s         Normal    Scheduled                        pod/neuvector-scanner-pod-64d5b96b4d-j7pnx                       Successfully assigned neuvector/neuvector-scanner-pod-64d5b96b4d-j7pnx to k3d-uds-server-0
neuvector                   77s         Normal    Scheduled                        pod/neuvector-scanner-pod-64d5b96b4d-l2h8p                       Successfully assigned neuvector/neuvector-scanner-pod-64d5b96b4d-l2h8p to k3d-uds-server-0
pepr-system                 3m13s       Normal    Scheduled                        pod/pepr-uds-core-65ff788585-578cp                               Successfully assigned pepr-system/pepr-uds-core-65ff788585-578cp to k3d-uds-server-0
zarf                        4m38s       Normal    Scheduled                        pod/agent-hook-79796948fb-s72fd                                  Successfully assigned zarf/agent-hook-79796948fb-s72fd to k3d-uds-server-0
pepr-system                 3m13s       Normal    Scheduled                        pod/pepr-uds-core-65ff788585-ltl4h                               Successfully assigned pepr-system/pepr-uds-core-65ff788585-ltl4h to k3d-uds-server-0
neuvector                   63s         Normal    Scheduled                        pod/neuvector-controller-pod-7ddbfc9f74-8ghxl                    Successfully assigned neuvector/neuvector-controller-pod-7ddbfc9f74-8ghxl to k3d-uds-server-0
pepr-system                 3m13s       Normal    Scheduled                        pod/pepr-uds-core-watcher-76956c5c56-sbtcd                       Successfully assigned pepr-system/pepr-uds-core-watcher-76956c5c56-sbtcd to k3d-uds-server-0
neuvector                   77s         Normal    Scheduled                        pod/neuvector-controller-pod-76986f95cb-w2b2d                    Successfully assigned neuvector/neuvector-controller-pod-76986f95cb-w2b2d to k3d-uds-server-0
uds-dev-stack               5m57s       Normal    Scheduled                        pod/ensure-machine-id-dpmwz                                      Successfully assigned uds-dev-stack/ensure-machine-id-dpmwz to k3d-uds-server-0
istio-tenant-gateway        3m22s       Normal    Scheduled                        pod/tenant-ingressgateway-79d5d77d67-28nc2                       Successfully assigned istio-tenant-gateway/tenant-ingressgateway-79d5d77d67-28nc2 to k3d-uds-server-0
istio-passthrough-gateway   3m18s       Normal    Scheduled                        pod/passthrough-ingressgateway-77f78c89b5-fm7t4                  Successfully assigned istio-passthrough-gateway/passthrough-ingressgateway-77f78c89b5-fm7t4 to k3d-uds-server-0
neuvector                   77s         Normal    Scheduled                        pod/neuvector-controller-pod-76986f95cb-2s9cv                    Successfully assigned neuvector/neuvector-controller-pod-76986f95cb-2s9cv to k3d-uds-server-0
uds-dev-stack               5m57s       Normal    Scheduled                        pod/nginx-nkgvx                                                  Successfully assigned uds-dev-stack/nginx-nkgvx to k3d-uds-server-0
uds-dev-stack               5m57s       Normal    Scheduled                        pod/local-path-provisioner-8f88fd45c-kcsvq                       Successfully assigned uds-dev-stack/local-path-provisioner-8f88fd45c-kcsvq to k3d-uds-server-0
metrics-server              2m53s       Normal    Scheduled                        pod/metrics-server-69584cc865-xj8s5                              Successfully assigned metrics-server/metrics-server-69584cc865-xj8s5 to k3d-uds-server-0
zarf                        4m38s       Normal    Scheduled                        pod/agent-hook-79796948fb-tdcpf                                  Successfully assigned zarf/agent-hook-79796948fb-tdcpf to k3d-uds-server-0
uds-dev-stack               5m48s       Normal    Scheduled                        pod/minio-58f77b59c9-22x5q                                       Successfully assigned uds-dev-stack/minio-58f77b59c9-22x5q to k3d-uds-server-0
loki                        55s         Warning   FailedScheduling                 pod/loki-backend-0                                               running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "data-loki-backend-0": the object has been modified; please apply your changes to the latest version and try again
loki                        50s         Normal    Scheduled                        pod/loki-write-0                                                 Successfully assigned loki/loki-write-0 to k3d-uds-server-0
loki                        55s         Normal    Scheduled                        pod/loki-read-5cfc7c96c9-qqsbv                                   Successfully assigned loki/loki-read-5cfc7c96c9-qqsbv to k3d-uds-server-0
zarf                        65s         Normal    Scheduled                        pod/zarf-docker-registry-5bdb47fb66-v92k6                        Successfully assigned zarf/zarf-docker-registry-5bdb47fb66-v92k6 to k3d-uds-server-0
uds-dev-stack               6m20s       Normal    Scheduled                        pod/metallb-controller-6b7f78f78d-nh5d7                          Successfully assigned uds-dev-stack/metallb-controller-6b7f78f78d-nh5d7 to k3d-uds-server-0
zarf                        5m18s       Normal    Scheduled                        pod/zarf-docker-registry-745c48f4fb-ftkfn                        Successfully assigned zarf/zarf-docker-registry-745c48f4fb-ftkfn to k3d-uds-server-0
istio-system                3m32s       Normal    Scheduled                        pod/istiod-84cf89cbcb-8ct4b                                      Successfully assigned istio-system/istiod-84cf89cbcb-8ct4b to k3d-uds-server-0
loki                        55s         Normal    Scheduled                        pod/loki-gateway-bb48544c6-q5pfm                                 Successfully assigned loki/loki-gateway-bb48544c6-q5pfm to k3d-uds-server-0
loki                        49s         Normal    Scheduled                        pod/loki-backend-0                                               Successfully assigned loki/loki-backend-0 to k3d-uds-server-0
default                     6m39s       Warning   InvalidDiskCapacity              node/k3d-uds-server-0                                            invalid capacity 0 on image filesystem
default                     6m39s       Normal    Starting                         node/k3d-uds-server-0                                            Starting kubelet.
default                     6m39s       Normal    NodeReady                        node/k3d-uds-server-0                                            Node k3d-uds-server-0 status is now: NodeReady
default                     6m39s       Normal    NodeAllocatableEnforced          node/k3d-uds-server-0                                            Updated Node Allocatable limit across pods
default                     6m39s       Normal    NodeHasSufficientPID             node/k3d-uds-server-0                                            Node k3d-uds-server-0 status is now: NodeHasSufficientPID
default                     6m39s       Normal    NodeHasNoDiskPressure            node/k3d-uds-server-0                                            Node k3d-uds-server-0 status is now: NodeHasNoDiskPressure
default                     6m39s       Normal    NodeHasSufficientMemory          node/k3d-uds-server-0                                            Node k3d-uds-server-0 status is now: NodeHasSufficientMemory
kube-system                 6m37s       Normal    AppliedManifest                  addon/ccm                                                        Applied manifest at "/var/lib/rancher/k3s/server/manifests/ccm.yaml"
kube-system                 6m37s       Normal    AppliedManifest                  addon/rolebindings                                               Applied manifest at "/var/lib/rancher/k3s/server/manifests/rolebindings.yaml"
kube-system                 6m37s       Normal    ApplyingManifest                 addon/rolebindings                                               Applying manifest at "/var/lib/rancher/k3s/server/manifests/rolebindings.yaml"
kube-system                 6m37s       Normal    ApplyingManifest                 addon/ccm                                                        Applying manifest at "/var/lib/rancher/k3s/server/manifests/ccm.yaml"
kube-system                 6m37s       Normal    AppliedManifest                  addon/runtimes                                                   Applied manifest at "/var/lib/rancher/k3s/server/manifests/runtimes.yaml"
kube-system                 6m37s       Normal    ApplyingManifest                 addon/runtimes                                                   Applying manifest at "/var/lib/rancher/k3s/server/manifests/runtimes.yaml"
default                     6m36s       Normal    NodePasswordValidationComplete   node/k3d-uds-server-0                                            Deferred node password secret validation complete
default                     6m36s       Normal    Synced                           node/k3d-uds-server-0                                            Node synced successfully
kube-system                 6m25s       Normal    SuccessfulCreate                 replicaset/coredns-6799fbcd5                                     Created pod: coredns-6799fbcd5-wcg6m
kube-system                 6m25s       Normal    ScalingReplicaSet                deployment/coredns                                               Scaled up replica set coredns-6799fbcd5 to 1
default                     6m25s       Normal    RegisteredNode                   node/k3d-uds-server-0                                            Node k3d-uds-server-0 event: Registered Node k3d-uds-server-0 in Controller
kube-system                 6m23s       Normal    Pulling                          pod/coredns-6799fbcd5-wcg6m                                      Pulling image "rancher/mirrored-coredns-coredns:1.10.1"
kube-system                 6m22s       Normal    Pulled                           pod/coredns-6799fbcd5-wcg6m                                      Successfully pulled image "rancher/mirrored-coredns-coredns:1.10.1" in 1.638s (1.638s including waiting)
kube-system                 6m22s       Normal    Created                          pod/coredns-6799fbcd5-wcg6m                                      Created container coredns
kube-system                 6m22s       Normal    Started                          pod/coredns-6799fbcd5-wcg6m                                      Started container coredns
kube-system                 6m22s       Normal    ApplyingManifest                 addon/coredns                                                    Applying manifest at "/var/lib/rancher/k3s/server/manifests/coredns.yaml"
kube-system                 6m22s       Normal    AppliedManifest                  addon/coredns                                                    Applied manifest at "/var/lib/rancher/k3s/server/manifests/coredns.yaml"
uds-dev-stack               6m20s       Normal    ScalingReplicaSet                deployment/metallb-controller                                    Scaled up replica set metallb-controller-6b7f78f78d to 1
uds-dev-stack               6m20s       Normal    SuccessfulCreate                 daemonset/metallb-speaker                                        Created pod: metallb-speaker-f7x9f
uds-dev-stack               6m20s       Normal    SuccessfulCreate                 replicaset/metallb-controller-6b7f78f78d                         Created pod: metallb-controller-6b7f78f78d-nh5d7
uds-dev-stack               6m19s       Normal    Pulling                          pod/metallb-controller-6b7f78f78d-nh5d7                          Pulling image "quay.io/metallb/controller:v0.14.6"
uds-dev-stack               6m16s       Warning   FailedMount                      pod/metallb-speaker-f7x9f                                        MountVolume.SetUp failed for volume "memberlist" : secret "metallb-memberlist" not found
uds-dev-stack               6m14s       Normal    Started                          pod/metallb-controller-6b7f78f78d-nh5d7                          Started container controller
uds-dev-stack               6m14s       Normal    Created                          pod/metallb-controller-6b7f78f78d-nh5d7                          Created container controller
uds-dev-stack               6m14s       Normal    Pulled                           pod/metallb-controller-6b7f78f78d-nh5d7                          Successfully pulled image "quay.io/metallb/controller:v0.14.6" in 5.329s (5.329s including waiting)
uds-dev-stack               6m11s       Normal    Pulling                          pod/metallb-speaker-f7x9f                                        Pulling image "quay.io/frrouting/frr:9.1.0"
uds-dev-stack               6m7s        Normal    Pulled                           pod/metallb-speaker-f7x9f                                        Successfully pulled image "quay.io/frrouting/frr:9.1.0" in 4.252s (4.252s including waiting)
uds-dev-stack               6m7s        Normal    Created                          pod/metallb-speaker-f7x9f                                        Created container cp-frr-files
uds-dev-stack               6m7s        Normal    Started                          pod/metallb-speaker-f7x9f                                        Started container cp-frr-files
uds-dev-stack               6m6s        Normal    Pulling                          pod/metallb-speaker-f7x9f                                        Pulling image "quay.io/metallb/speaker:v0.14.6"
uds-dev-stack               6m3s        Normal    Pulled                           pod/metallb-speaker-f7x9f                                        Successfully pulled image "quay.io/metallb/speaker:v0.14.6" in 3.252s (3.253s including waiting)
uds-dev-stack               6m3s        Normal    Created                          pod/metallb-speaker-f7x9f                                        Created container cp-reloader
uds-dev-stack               6m3s        Normal    Started                          pod/metallb-speaker-f7x9f                                        Started container cp-reloader
uds-dev-stack               6m2s        Normal    Started                          pod/metallb-speaker-f7x9f                                        Started container cp-metrics
uds-dev-stack               6m2s        Normal    Pulled                           pod/metallb-speaker-f7x9f                                        Container image "quay.io/metallb/speaker:v0.14.6" already present on machine
uds-dev-stack               6m2s        Normal    Created                          pod/metallb-speaker-f7x9f                                        Created container cp-metrics
uds-dev-stack               6m1s        Normal    Started                          pod/metallb-speaker-f7x9f                                        Started container frr
uds-dev-stack               6m1s        Normal    Pulled                           pod/metallb-speaker-f7x9f                                        Container image "quay.io/frrouting/frr:9.1.0" already present on machine
uds-dev-stack               6m1s        Normal    Created                          pod/metallb-speaker-f7x9f                                        Created container speaker
uds-dev-stack               6m1s        Normal    Started                          pod/metallb-speaker-f7x9f                                        Started container speaker
uds-dev-stack               6m1s        Normal    Pulled                           pod/metallb-speaker-f7x9f                                        Container image "quay.io/frrouting/frr:9.1.0" already present on machine
uds-dev-stack               6m1s        Normal    Created                          pod/metallb-speaker-f7x9f                                        Created container frr
uds-dev-stack               6m1s        Normal    Pulled                           pod/metallb-speaker-f7x9f                                        Container image "quay.io/frrouting/frr:9.1.0" already present on machine
uds-dev-stack               6m1s        Normal    Created                          pod/metallb-speaker-f7x9f                                        Created container reloader
uds-dev-stack               6m1s        Normal    Started                          pod/metallb-speaker-f7x9f                                        Started container reloader
uds-dev-stack               6m1s        Normal    Pulled                           pod/metallb-speaker-f7x9f                                        Container image "quay.io/metallb/speaker:v0.14.6" already present on machine
uds-dev-stack               5m57s       Normal    Pulling                          pod/nginx-nkgvx                                                  Pulling image "ghcr.io/defenseunicorns/oss/uds-k3d-nginx:alpine-1.25.3"
uds-dev-stack               5m57s       Normal    ScalingReplicaSet                deployment/local-path-provisioner                                Scaled up replica set local-path-provisioner-8f88fd45c to 1
uds-dev-stack               5m57s       Normal    SuccessfulCreate                 daemonset/ensure-machine-id                                      Created pod: ensure-machine-id-dpmwz
uds-dev-stack               5m57s       Normal    SuccessfulCreate                 daemonset/nginx                                                  Created pod: nginx-nkgvx
uds-dev-stack               5m57s       Normal    SuccessfulCreate                 replicaset/local-path-provisioner-8f88fd45c                      Created pod: local-path-provisioner-8f88fd45c-kcsvq
uds-dev-stack               5m57s       Normal    Pulling                          pod/ensure-machine-id-dpmwz                                      Pulling image "cgr.dev/chainguard/wolfi-base:latest"
uds-dev-stack               5m57s       Normal    Pulling                          pod/local-path-provisioner-8f88fd45c-kcsvq                       Pulling image "rancher/local-path-provisioner:v0.0.28"
uds-dev-stack               5m55s       Normal    Started                          pod/local-path-provisioner-8f88fd45c-kcsvq                       Started container local-path-provisioner
uds-dev-stack               5m55s       Normal    Started                          pod/nginx-nkgvx                                                  Started container nginx
uds-dev-stack               5m55s       Normal    Created                          pod/nginx-nkgvx                                                  Created container nginx
uds-dev-stack               5m55s       Normal    Pulled                           pod/nginx-nkgvx                                                  Successfully pulled image "ghcr.io/defenseunicorns/oss/uds-k3d-nginx:alpine-1.25.3" in 2.016s (2.016s including waiting)
uds-dev-stack               5m55s       Normal    Pulled                           pod/local-path-provisioner-8f88fd45c-kcsvq                       Successfully pulled image "rancher/local-path-provisioner:v0.0.28" in 1.737s (1.737s including waiting)
uds-dev-stack               5m55s       Normal    Created                          pod/local-path-provisioner-8f88fd45c-kcsvq                       Created container local-path-provisioner
uds-dev-stack               5m54s       Normal    Created                          pod/ensure-machine-id-dpmwz                                      Created container generate-machine-id
uds-dev-stack               5m54s       Normal    Pulled                           pod/ensure-machine-id-dpmwz                                      Successfully pulled image "cgr.dev/chainguard/wolfi-base:latest" in 2.871s (2.871s including waiting)
uds-dev-stack               5m54s       Normal    Started                          pod/ensure-machine-id-dpmwz                                      Started container generate-machine-id
uds-dev-stack               5m53s       Normal    Pulling                          pod/helper-pod-create-pvc-89e37bcf-ec0e-4bb5-8c56-3fdf2e628ff7   Pulling image "busybox"
uds-dev-stack               5m53s       Normal    SuccessfulCreate                 replicaset/minio-58f77b59c9                                      Created pod: minio-58f77b59c9-22x5q
uds-dev-stack               5m53s       Normal    Pulling                          pod/ensure-machine-id-dpmwz                                      Pulling image "registry.k8s.io/pause:3.10"
uds-dev-stack               5m53s       Normal    WaitForFirstConsumer             persistentvolumeclaim/minio                                      waiting for first consumer to be created before binding
uds-dev-stack               5m53s       Normal    ScalingReplicaSet                deployment/minio                                                 Scaled up replica set minio-58f77b59c9 to 1
uds-dev-stack               5m53s       Normal    ExternalProvisioning             persistentvolumeclaim/minio                                      Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
uds-dev-stack               5m53s       Normal    Provisioning                     persistentvolumeclaim/minio                                      External provisioner is provisioning volume for claim "uds-dev-stack/minio"
uds-dev-stack               5m52s       Normal    Created                          pod/ensure-machine-id-dpmwz                                      Created container pause
uds-dev-stack               5m52s       Normal    Pulled                           pod/ensure-machine-id-dpmwz                                      Successfully pulled image "registry.k8s.io/pause:3.10" in 1.404s (1.404s including waiting)
uds-dev-stack               5m52s       Normal    Started                          pod/ensure-machine-id-dpmwz                                      Started container pause
uds-dev-stack               5m51s       Normal    Started                          pod/helper-pod-create-pvc-89e37bcf-ec0e-4bb5-8c56-3fdf2e628ff7   Started container helper-pod
uds-dev-stack               5m51s       Normal    Created                          pod/helper-pod-create-pvc-89e37bcf-ec0e-4bb5-8c56-3fdf2e628ff7   Created container helper-pod
uds-dev-stack               5m51s       Normal    Pulled                           pod/helper-pod-create-pvc-89e37bcf-ec0e-4bb5-8c56-3fdf2e628ff7   Successfully pulled image "busybox" in 1.257s (1.257s including waiting)
uds-dev-stack               5m49s       Normal    ProvisioningSucceeded            persistentvolumeclaim/minio                                      Successfully provisioned volume pvc-89e37bcf-ec0e-4bb5-8c56-3fdf2e628ff7
uds-dev-stack               5m48s       Normal    Pulling                          pod/minio-58f77b59c9-22x5q                                       Pulling image "quay.io/minio/minio:RELEASE.2024-04-18T19-09-19Z"
uds-dev-stack               5m44s       Normal    Started                          pod/minio-58f77b59c9-22x5q                                       Started container minio
uds-dev-stack               5m44s       Normal    Created                          pod/minio-58f77b59c9-22x5q                                       Created container minio
uds-dev-stack               5m44s       Normal    Pulled                           pod/minio-58f77b59c9-22x5q                                       Successfully pulled image "quay.io/minio/minio:RELEASE.2024-04-18T19-09-19Z" in 3.383s (3.383s including waiting)
uds-dev-stack               5m43s       Normal    SuccessfulCreate                 job/minio-post-job                                               Created pod: minio-post-job-gt94f
uds-dev-stack               5m43s       Normal    Pulling                          pod/minio-post-job-gt94f                                         Pulling image "quay.io/minio/mc:RELEASE.2024-04-18T16-45-29Z"
uds-dev-stack               5m37s       Normal    Created                          pod/minio-post-job-gt94f                                         Created container minio-make-policy
uds-dev-stack               5m37s       Normal    Pulled                           pod/minio-post-job-gt94f                                         Successfully pulled image "quay.io/minio/mc:RELEASE.2024-04-18T16-45-29Z" in 5.059s (5.059s including waiting)
uds-dev-stack               5m37s       Normal    Pulled                           pod/minio-post-job-gt94f                                         Container image "quay.io/minio/mc:RELEASE.2024-04-18T16-45-29Z" already present on machine
uds-dev-stack               5m37s       Normal    Started                          pod/minio-post-job-gt94f                                         Started container minio-make-bucket
uds-dev-stack               5m37s       Normal    Started                          pod/minio-post-job-gt94f                                         Started container minio-make-user
uds-dev-stack               5m37s       Normal    Pulled                           pod/minio-post-job-gt94f                                         Container image "quay.io/minio/mc:RELEASE.2024-04-18T16-45-29Z" already present on machine
uds-dev-stack               5m37s       Normal    Started                          pod/minio-post-job-gt94f                                         Started container minio-make-policy
uds-dev-stack               5m37s       Normal    Created                          pod/minio-post-job-gt94f                                         Created container minio-make-user
uds-dev-stack               5m37s       Normal    Created                          pod/minio-post-job-gt94f                                         Created container minio-make-bucket
kube-system                 5m34s       Normal    SuccessfulDelete                 replicaset/coredns-6799fbcd5                                     Deleted pod: coredns-6799fbcd5-wcg6m
kube-system                 5m34s       Normal    SuccessfulCreate                 replicaset/coredns-5599cd45b7                                    Created pod: coredns-5599cd45b7-ss6vc
kube-system                 5m34s       Normal    Killing                          pod/coredns-6799fbcd5-wcg6m                                      Stopping container coredns
kube-system                 5m34s       Normal    ScalingReplicaSet                deployment/coredns                                               Scaled up replica set coredns-5599cd45b7 to 1
uds-dev-stack               5m34s       Normal    Completed                        job/minio-post-job                                               Job completed
kube-system                 5m34s       Normal    ScalingReplicaSet                deployment/coredns                                               Scaled down replica set coredns-6799fbcd5 to 0 from 1
kube-system                 5m33s       Normal    Created                          pod/coredns-5599cd45b7-ss6vc                                     Created container coredns
kube-system                 5m33s       Normal    Started                          pod/coredns-5599cd45b7-ss6vc                                     Started container coredns
kube-system                 5m33s       Normal    Pulled                           pod/coredns-5599cd45b7-ss6vc                                     Container image "rancher/mirrored-coredns-coredns:1.10.1" already present on machine
zarf                        5m22s       Normal    Started                          pod/injector                                                     Started container injector
zarf                        5m22s       Normal    Pulled                           pod/injector                                                     Container image "rancher/mirrored-coredns-coredns:1.10.1" already present on machine
zarf                        5m22s       Normal    Created                          pod/injector                                                     Created container injector
zarf                        5m21s       Normal    Provisioning                     persistentvolumeclaim/zarf-docker-registry                       External provisioner is provisioning volume for claim "zarf/zarf-docker-registry"
zarf                        5m21s       Normal    ScalingReplicaSet                deployment/zarf-docker-registry                                  Scaled up replica set zarf-docker-registry-745c48f4fb to 1
zarf                        5m21s       Normal    ExternalProvisioning             persistentvolumeclaim/zarf-docker-registry                       Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
zarf                        5m21s       Normal    WaitForFirstConsumer             persistentvolumeclaim/zarf-docker-registry                       waiting for first consumer to be created before binding
zarf                        5m21s       Normal    NoPods                           poddisruptionbudget/zarf-docker-registry                         No matching pods found
zarf                        5m21s       Normal    SuccessfulCreate                 replicaset/zarf-docker-registry-745c48f4fb                       Created pod: zarf-docker-registry-745c48f4fb-ftkfn
uds-dev-stack               5m20s       Normal    Created                          pod/helper-pod-create-pvc-d09707f3-ee33-42c7-8fcf-6fe56867444f   Created container helper-pod
uds-dev-stack               5m20s       Normal    Started                          pod/helper-pod-create-pvc-d09707f3-ee33-42c7-8fcf-6fe56867444f   Started container helper-pod
uds-dev-stack               5m20s       Normal    Pulled                           pod/helper-pod-create-pvc-d09707f3-ee33-42c7-8fcf-6fe56867444f   Container image "busybox" already present on machine
zarf                        5m18s       Normal    ProvisioningSucceeded            persistentvolumeclaim/zarf-docker-registry                       Successfully provisioned volume pvc-d09707f3-ee33-42c7-8fcf-6fe56867444f
zarf                        5m17s       Normal    Created                          pod/zarf-docker-registry-745c48f4fb-ftkfn                        Created container docker-registry
zarf                        5m17s       Normal    Pulled                           pod/zarf-docker-registry-745c48f4fb-ftkfn                        Successfully pulled image "127.0.0.1:30268/library/registry:2.8.3" in 211ms (211ms including waiting)
zarf                        5m17s       Normal    Started                          pod/zarf-docker-registry-745c48f4fb-ftkfn                        Started container docker-registry
zarf                        5m17s       Normal    Pulling                          pod/zarf-docker-registry-745c48f4fb-ftkfn                        Pulling image "127.0.0.1:30268/library/registry:2.8.3"
zarf                        5m16s       Normal    Killing                          pod/injector                                                     Stopping container injector
zarf                        4m43s       Normal    SuccessfulCreate                 replicaset/zarf-docker-registry-5bdb47fb66                       Created pod: zarf-docker-registry-5bdb47fb66-48wht
zarf                        4m43s       Normal    ScalingReplicaSet                deployment/zarf-docker-registry                                  Scaled up replica set zarf-docker-registry-5bdb47fb66 to 1
zarf                        4m42s       Normal    Created                          pod/zarf-docker-registry-5bdb47fb66-48wht                        Created container docker-registry
zarf                        4m42s       Normal    Started                          pod/zarf-docker-registry-5bdb47fb66-48wht                        Started container docker-registry
zarf                        4m42s       Normal    Pulling                          pod/zarf-docker-registry-5bdb47fb66-48wht                        Pulling image "127.0.0.1:31999/library/registry:2.8.3"
zarf                        4m42s       Normal    Pulled                           pod/zarf-docker-registry-5bdb47fb66-48wht                        Successfully pulled image "127.0.0.1:31999/library/registry:2.8.3" in 70ms (70ms including waiting)
zarf                        4m38s       Normal    SuccessfulCreate                 replicaset/agent-hook-79796948fb                                 Created pod: agent-hook-79796948fb-tdcpf
zarf                        4m38s       Normal    Pulling                          pod/agent-hook-79796948fb-s72fd                                  Pulling image "127.0.0.1:31999/zarf-dev/zarf/agent:v0.38.2"
zarf                        4m38s       Normal    SuccessfulCreate                 replicaset/agent-hook-79796948fb                                 Created pod: agent-hook-79796948fb-s72fd
zarf                        4m38s       Normal    ScalingReplicaSet                deployment/agent-hook                                            Scaled up replica set agent-hook-79796948fb to 2
zarf                        4m38s       Normal    Pulling                          pod/agent-hook-79796948fb-tdcpf                                  Pulling image "127.0.0.1:31999/zarf-dev/zarf/agent:v0.38.2"
zarf                        4m37s       Normal    Killing                          pod/zarf-docker-registry-745c48f4fb-ftkfn                        Stopping container docker-registry
zarf                        4m37s       Normal    Pulled                           pod/agent-hook-79796948fb-tdcpf                                  Successfully pulled image "127.0.0.1:31999/zarf-dev/zarf/agent:v0.38.2" in 656ms (656ms including waiting)
zarf                        4m37s       Normal    ScalingReplicaSet                deployment/zarf-docker-registry                                  Scaled down replica set zarf-docker-registry-745c48f4fb to 0 from 1
zarf                        4m37s       Normal    Pulled                           pod/agent-hook-79796948fb-s72fd                                  Successfully pulled image "127.0.0.1:31999/zarf-dev/zarf/agent:v0.38.2" in 656ms (657ms including waiting)
zarf                        4m37s       Normal    SuccessfulDelete                 replicaset/zarf-docker-registry-745c48f4fb                       Deleted pod: zarf-docker-registry-745c48f4fb-ftkfn
zarf                        4m37s       Normal    Created                          pod/agent-hook-79796948fb-s72fd                                  Created container server
zarf                        4m37s       Normal    Started                          pod/agent-hook-79796948fb-s72fd                                  Started container server
zarf                        4m37s       Normal    Started                          pod/agent-hook-79796948fb-tdcpf                                  Started container server
zarf                        4m37s       Normal    Created                          pod/agent-hook-79796948fb-tdcpf                                  Created container server
istio-system                3m32s       Normal    ScalingReplicaSet                deployment/istiod                                                Scaled up replica set istiod-84cf89cbcb to 1
istio-system                3m32s       Normal    NoPods                           poddisruptionbudget/istiod                                       No matching pods found
istio-system                3m32s       Normal    SuccessfulCreate                 replicaset/istiod-84cf89cbcb                                     Created pod: istiod-84cf89cbcb-8ct4b
istio-system                3m32s       Normal    Pulling                          pod/istiod-84cf89cbcb-8ct4b                                      Pulling image "127.0.0.1:31999/istio/pilot:1.22.3-distroless-zarf-4264239833"
istio-system                3m31s       Normal    Pulled                           pod/istiod-84cf89cbcb-8ct4b                                      Successfully pulled image "127.0.0.1:31999/istio/pilot:1.22.3-distroless-zarf-4264239833" in 777ms (777ms including waiting)
istio-system                3m31s       Normal    Started                          pod/istiod-84cf89cbcb-8ct4b                                      Started container discovery
istio-system                3m31s       Normal    Created                          pod/istiod-84cf89cbcb-8ct4b                                      Created container discovery
istio-admin-gateway         3m28s       Normal    ScalingReplicaSet                deployment/admin-ingressgateway                                  Scaled up replica set admin-ingressgateway-65c568569f to 1
